Index,Date,Average Price,Type,Year,Region,Total Volume
34,3/05/2015,1.17,conventional,2015,Boston,552368.94
35,26/04/2015,1.28,conventional,2015,Boston,465911.37
36,19/04/2015,1.15,conventional,2015,Boston,504619.83
37,12/04/2015,1.26,conventional,2015,Boston,408485.16
38,5/04/2015,1.27,conventional,2015,Boston,449818.01
39,29/03/2015,1.19,conventional,2015,Boston,453631.25
40,22/03/2015,1.18,conventional,2015,Boston,453173.22
41,15/03/2015,1.25,conventional,2015,Boston,417750.36
42,8/03/2015,1.17,conventional,2015,Boston,408403.96
43,1/03/2015,1.11,conventional,2015,Boston,485736.1
44,22/02/2015,1.23,conventional,2015,Boston,355432.28
45,15/02/2015,1.2,conventional,2015,Boston,399883.99
46,8/02/2015,1.04,conventional,2015,Boston,609985.34
47,1/02/2015,1.22,conventional,2015,Boston,490022.14
48,25/01/2015,1.17,conventional,2015,Boston,409343.56
49,18/01/2015,1.23,conventional,2015,Boston,401331.33
50,11/01/2015,1.1,conventional,2015,Boston,437771.89
51,4/01/2015,1.02,conventional,2015,Boston,491738
0,27/12/2015,1.35,conventional,2015,BuffaloRochester,96233.08
1,20/12/2015,1.37,conventional,2015,BuffaloRochester,90867.51
2,13/12/2015,1.35,conventional,2015,BuffaloRochester,98473.23
3,6/12/2015,1.23,conventional,2015,BuffaloRochester,108457.82
4,29/11/2015,1.39,conventional,2015,BuffaloRochester,79973.14
5,22/11/2015,1.4,conventional,2015,BuffaloRochester,90242.31
6,15/11/2015,1.36,conventional,2015,BuffaloRochester,99703.72
7,8/11/2015,1.3,conventional,2015,BuffaloRochester,111038.95
8,1/11/2015,1.23,conventional,2015,BuffaloRochester,118541.11
9,25/10/2015,1.36,conventional,2015,BuffaloRochester,99554.55
10,18/10/2015,1.29,conventional,2015,BuffaloRochester,106083.75
11,11/10/2015,1.3,conventional,2015,BuffaloRochester,109153.84
12,4/10/2015,1.33,conventional,2015,BuffaloRochester,98900.48
13,27/09/2015,1.31,conventional,2015,BuffaloRochester,90745.72
14,20/09/2015,1.54,conventional,2015,BuffaloRochester,60624.47
15,13/09/2015,1.59,conventional,2015,BuffaloRochester,73043.2
16,6/09/2015,1.56,conventional,2015,BuffaloRochester,76139.58
17,30/08/2015,1.38,conventional,2015,BuffaloRochester,83731.42
18,23/08/2015,1.49,conventional,2015,BuffaloRochester,68953.29
19,16/08/2015,1.5,conventional,2015,BuffaloRochester,69798.09
20,9/08/2015,1.47,conventional,2015,BuffaloRochester,81830.13
21,2/08/2015,1.47,conventional,2015,BuffaloRochester,78162.92
22,26/07/2015,1.39,conventional,2015,BuffaloRochester,91825.07
23,19/07/2015,1.36,conventional,2015,BuffaloRochester,128846.15
24,12/07/2015,1.45,conventional,2015,BuffaloRochester,127351.46
25,5/07/2015,1.47,conventional,2015,BuffaloRochester,140413.9
26,28/06/2015,1.36,conventional,2015,BuffaloRochester,137246.7
27,21/06/2015,1.5,conventional,2015,BuffaloRochester,108655.36
28,14/06/2015,1.34,conventional,2015,BuffaloRochester,149376.79
29,7/06/2015,1.38,conventional,2015,BuffaloRochester,130908.11
30,31/05/2015,1.4,conventional,2015,BuffaloRochester,130841.08
31,24/05/2015,1.43,conventional,2015,BuffaloRochester,121942.61
32,17/05/2015,1.35,conventional,2015,BuffaloRochester,137050.23
33,10/05/2015,1.33,conventional,2015,BuffaloRochester,170547.18
34,3/05/2015,1.42,conventional,2015,BuffaloRochester,136771.79
35,26/04/2015,1.41,conventional,2015,BuffaloRochester,136964.3
36,19/04/2015,1.42,conventional,2015,BuffaloRochester,139612.52
37,12/04/2015,1.42,conventional,2015,BuffaloRochester,118172.53
38,5/04/2015,1.44,conventional,2015,BuffaloRochester,124145.62
39,29/03/2015,1.39,conventional,2015,BuffaloRochester,119890.65
40,22/03/2015,1.4,conventional,2015,BuffaloRochester,119902.96
41,15/03/2015,1.47,conventional,2015,BuffaloRochester,103413.11
42,8/03/2015,1.35,conventional,2015,BuffaloRochester,125724.96
43,1/03/2015,1.43,conventional,2015,BuffaloRochester,112363.86
44,22/02/2015,1.41,conventional,2015,BuffaloRochester,109546.92
45,15/02/2015,1.44,conventional,2015,BuffaloRochester,100207.14
46,8/02/2015,1.36,conventional,2015,BuffaloRochester,132760.1
47,1/02/2015,1.33,conventional,2015,BuffaloRochester,153920.35
48,25/01/2015,1.5,conventional,2015,BuffaloRochester,114052.94
49,18/01/2015,1.52,conventional,2015,BuffaloRochester,107040.29
50,11/01/2015,1.54,conventional,2015,BuffaloRochester,106221.32
51,4/01/2015,1.4,conventional,2015,BuffaloRochester,116253.44
0,27/12/2015,0.9,conventional,2015,California,5040365.47
1,20/12/2015,0.94,conventional,2015,California,4695737.21
2,13/12/2015,0.87,conventional,2015,California,5259354.3
3,6/12/2015,0.78,conventional,2015,California,5775536.27
4,29/11/2015,0.91,conventional,2015,California,4575710.62
5,22/11/2015,0.92,conventional,2015,California,4804278.16
6,15/11/2015,0.83,conventional,2015,California,5755190.69
7,8/11/2015,0.98,conventional,2015,California,5148983.51
8,1/11/2015,0.95,conventional,2015,California,5830427.96
9,25/10/2015,1.12,conventional,2015,California,4592461.81
10,18/10/2015,1.07,conventional,2015,California,4999031.79
11,11/10/2015,1.08,conventional,2015,California,5063309.38
12,4/10/2015,1.02,conventional,2015,California,4943781.29
13,27/09/2015,1.04,conventional,2015,California,5216784.63
14,20/09/2015,1.14,conventional,2015,California,4759791.13
15,13/09/2015,1.13,conventional,2015,California,5106508.12
16,6/09/2015,1.09,conventional,2015,California,5806392.78
17,30/08/2015,1.08,conventional,2015,California,5647385.15
